filename,class,foreground_pixels,foreground_ratio,status
IMG_20211106_121149 (Custom).jpg,Bacterial Canker,12292,0.1601,success
IMG_20211106_141730 (Custom).jpg,Bacterial Canker,12922,0.1683,success
IMG_20211106_140237 (Custom).jpg,Bacterial Canker,8771,0.1142,success
IMG_20211106_140918 (Custom).jpg,Bacterial Canker,25195,0.3281,success
IMG_20211106_141923 (Custom).jpg,Bacterial Canker,10857,0.1414,success
IMG_20211106_135400 (Custom).jpg,Bacterial Canker,8829,0.1150,success
IMG_20211106_142949 (Custom).jpg,Bacterial Canker,4935,0.0643,success
IMG_20211106_135324 (Custom).jpg,Bacterial Canker,5757,0.0750,success
IMG_20211106_135253 (Custom).jpg,Bacterial Canker,6879,0.0896,success
IMG_20211106_141854 (Custom).jpg,Bacterial Canker,8629,0.1124,success
IMG_20211106_142545 (Custom).jpg,Bacterial Canker,18038,0.2349,success
IMG_20211106_121356 (Custom).jpg,Bacterial Canker,17928,0.2334,success
IMG_20211106_140553 (Custom).jpg,Bacterial Canker,13493,0.1757,success
IMG_20211106_120850 (Custom).jpg,Bacterial Canker,14560,0.1896,success
IMG_20211106_134952 (Custom).jpg,Bacterial Canker,14273,0.1858,success
IMG_20211106_140554 (Custom).jpg,Bacterial Canker,8756,0.1140,success
IMG_20211106_134822 (Custom).jpg,Bacterial Canker,1915,0.0249,success
IMG_20211106_120920 (Custom).jpg,Bacterial Canker,8986,0.1170,success
IMG_20211106_141652 (Custom).jpg,Bacterial Canker,7084,0.0922,success
IMG_20211106_141123 (Custom).jpg,Bacterial Canker,5891,0.0767,success
IMG_20211106_120857 (Custom).jpg,Bacterial Canker,7287,0.0949,success
IMG_20211106_142638 (Custom).jpg,Bacterial Canker,8831,0.1150,success
IMG_20211106_121109 (Custom).jpg,Bacterial Canker,11411,0.1486,success
IMG_20211106_143050 (Custom).jpg,Bacterial Canker,8279,0.1078,success
IMG_20211106_134713 (Custom).jpg,Bacterial Canker,5555,0.0723,success
IMG_20211106_143120 (Custom).jpg,Bacterial Canker,34463,0.4487,success
IMG_20211106_135331 (Custom).jpg,Bacterial Canker,8677,0.1130,success
IMG_20211106_120916 (Custom).jpg,Bacterial Canker,7675,0.0999,success
IMG_20211106_135719 (Custom).jpg,Bacterial Canker,19302,0.2513,success
IMG_20211106_141631 (Custom).jpg,Bacterial Canker,2655,0.0346,success
IMG_20211106_141714 (Custom).jpg,Bacterial Canker,16034,0.2088,success
IMG_20211106_141741 (Custom).jpg,Bacterial Canker,7532,0.0981,success
IMG_20211106_135118 (Custom).jpg,Bacterial Canker,6684,0.0870,success
IMG_20211106_120833 (Custom).jpg,Bacterial Canker,9325,0.1214,success
IMG_20211106_121138 (Custom).jpg,Bacterial Canker,9651,0.1257,success
IMG_20211106_143143 (Custom).jpg,Bacterial Canker,7842,0.1021,success
IMG_20211106_134725 (Custom).jpg,Bacterial Canker,4471,0.0582,success
IMG_20211106_121327 (Custom).jpg,Bacterial Canker,23590,0.3072,success
IMG_20211106_135423 (Custom).jpg,Bacterial Canker,9130,0.1189,success
IMG_20211106_134722 (Custom).jpg,Bacterial Canker,3615,0.0471,success
IMG_20211106_135958 (Custom).jpg,Bacterial Canker,10977,0.1429,success
IMG_20211106_142938 (Custom).jpg,Bacterial Canker,6186,0.0805,success
IMG_20211106_140728 (Custom).jpg,Bacterial Canker,13385,0.1743,success
IMG_20211106_143349 (Custom).jpg,Bacterial Canker,10418,0.1357,success
IMG_20211106_120951 (Custom).jpg,Bacterial Canker,35022,0.4560,success
IMG_20211106_135028 (Custom).jpg,Bacterial Canker,5870,0.0764,success
IMG_20211106_134801 (Custom).jpg,Bacterial Canker,6014,0.0783,success
IMG_20211106_140522 (Custom).jpg,Bacterial Canker,18899,0.2461,success
IMG_20211106_140253 (Custom).jpg,Bacterial Canker,12213,0.1590,success
IMG_20211106_140019 (Custom).jpg,Bacterial Canker,13258,0.1726,success
IMG_20211106_121335 (Custom).jpg,Bacterial Canker,6193,0.0806,success
IMG_20211106_121210 (Custom).jpg,Bacterial Canker,25197,0.3281,success
IMG_20211106_134647 (Custom).jpg,Bacterial Canker,6463,0.0842,success
IMG_20211106_143103 (Custom).jpg,Bacterial Canker,10384,0.1352,success
IMG_20211106_135128 (Custom).jpg,Bacterial Canker,7216,0.0940,success
IMG_20211106_141055 (Custom).jpg,Bacterial Canker,8266,0.1076,success
IMG_20211106_140500 (Custom).jpg,Bacterial Canker,16166,0.2105,success
IMG_20211106_140224 (Custom).jpg,Bacterial Canker,8584,0.1118,success
IMG_20211106_134906 (Custom).jpg,Bacterial Canker,6716,0.0874,success
IMG_20211106_143056 (Custom).jpg,Bacterial Canker,11277,0.1468,success
IMG_20211106_135414 (Custom).jpg,Bacterial Canker,18016,0.2346,success
IMG_20211106_141937 (Custom).jpg,Bacterial Canker,8936,0.1164,success
IMG_20211106_143004 (Custom).jpg,Bacterial Canker,8296,0.1080,success
IMG_20211106_135215 (Custom).jpg,Bacterial Canker,26208,0.3412,success
IMG_20211106_141736 (Custom).jpg,Bacterial Canker,10973,0.1429,success
IMG_20211106_140547 (Custom).jpg,Bacterial Canker,12533,0.1632,success
IMG_20211106_120844 (Custom).jpg,Bacterial Canker,12765,0.1662,success
IMG_20211106_120811 (Custom).jpg,Bacterial Canker,14524,0.1891,success
IMG_20211106_141614 (Custom).jpg,Bacterial Canker,4452,0.0580,success
IMG_20211106_140231 (Custom).jpg,Bacterial Canker,17033,0.2218,success
IMG_20211106_120934 (Custom).jpg,Bacterial Canker,13823,0.1800,success
IMG_20211106_140540 (Custom).jpg,Bacterial Canker,24752,0.3223,success
IMG_20211106_141137 (Custom).jpg,Bacterial Canker,8388,0.1092,success
IMG_20211106_142108 (Custom).jpg,Bacterial Canker,15708,0.2045,success
IMG_20211106_140346 (Custom).jpg,Bacterial Canker,13956,0.1817,success
IMG_20211106_134755 (Custom).jpg,Bacterial Canker,10589,0.1379,success
IMG_20211106_135406 (Custom).jpg,Bacterial Canker,16389,0.2134,success
IMG_20211106_143134 (Custom).jpg,Bacterial Canker,9962,0.1297,success
IMG_20211106_134752 (Custom).jpg,Bacterial Canker,10700,0.1393,success
IMG_20211106_135207 (Custom).jpg,Bacterial Canker,26817,0.3492,success
IMG_20211106_134707 (Custom).jpg,Bacterial Canker,6349,0.0827,success
IMG_20211106_135454 (Custom).jpg,Bacterial Canker,6615,0.0861,success
IMG_20211106_140029 (Custom).jpg,Bacterial Canker,16718,0.2177,success
IMG_20211106_135325 (Custom).jpg,Bacterial Canker,3947,0.0514,success
IMG_20211106_143043 (Custom).jpg,Bacterial Canker,5080,0.0661,success
